id   ,Date      ,State                    ,Total Confirmed Cases ,Total Deaths
323  ,Sun 9/5   ,Utah                     ,469510                ,2658
324  ,Sun 9/5   ,Vermont                  ,28994                 ,282
325  ,Sun 9/5   ,Virgin Islands           ,5961                  ,57
326  ,Sun 9/5   ,Virginia                 ,778167                ,11899
327  ,Sun 9/5   ,Washington               ,577720                ,6749
328  ,Sun 9/5   ,West Virginia            ,197984                ,3124
329  ,Sun 9/5   ,Wisconsin                ,741412                ,8521
330  ,Sun 9/5   ,Wyoming                  ,77206                 ,858
331  ,Mon 9/6   ,Alabama                  ,724688                ,12416
332  ,Mon 9/6   ,Alaska                   ,89927                 ,431
333  ,Mon 9/6   ,Arizona                  ,1032808               ,18999
334  ,Mon 9/6   ,Arkansas                 ,464732                ,7070
335  ,Mon 9/6   ,California               ,4525630               ,66496
336  ,Mon 9/6   ,Colorado                 ,630178                ,7397
337  ,Mon 9/6   ,Connecticut              ,375135                ,8394
338  ,Mon 9/6   ,Delaware                 ,122370                ,1891
339  ,Mon 9/6   ,District of Columbia     ,55918                 ,1162
340  ,Mon 9/6   ,Florida                  ,3308916               ,46324
341  ,Mon 9/6   ,Georgia                  ,1401865               ,22373
342  ,Mon 9/6   ,Guam                     ,12262                 ,152
343  ,Mon 9/6   ,Hawaii                   ,66057                 ,623
344  ,Mon 9/6   ,Idaho                    ,225604                ,2380
345  ,Mon 9/6   ,Illinois                 ,1542870               ,26614
346  ,Mon 9/6   ,Indiana                  ,876850                ,14570
347  ,Mon 9/6   ,Iowa                     ,411577                ,6307
348  ,Mon 9/6   ,Kansas                   ,378244                ,5659
349  ,Mon 9/6   ,Kentucky                 ,596598                ,7910
350  ,Mon 9/6   ,Louisiana                ,696900                ,12707
351  ,Mon 9/6   ,Maine                    ,78071                 ,940
352  ,Mon 9/6   ,Maryland                 ,504285                ,10087
353  ,Mon 9/6   ,Massachusetts            ,765584                ,18286
354  ,Mon 9/6   ,Michigan                 ,1069258               ,21657
355  ,Mon 9/6   ,Minnesota                ,655511                ,7937
356  ,Mon 9/6   ,Mississippi              ,452644                ,8664
357  ,Mon 9/6   ,Missouri                 ,788286                ,11358
358  ,Mon 9/6   ,Montana                  ,129607                ,1811
359  ,Mon 9/6   ,Nebraska                 ,248980                ,2599
360  ,Mon 9/6   ,Nevada                   ,394595                ,6583
361  ,Mon 9/6   ,New Hampshire            ,108713                ,1426
362  ,Mon 9/6   ,New Jersey               ,1104439               ,26952
